a         b
1000      1.155
2000      4.223
3000      10.078
4000      21.154
5000      29.579
6000      38.897
7000      54.002
8000      79.149
9000      97.776
10000      125.165
11000      150.714
12000      182.514
13000      219.522
14000      250.698
15000      287.29
16000      335.157
17000      383.382
18000      428.431
19000      477.425
20000      533.801
21000      649.149
22000      756.555
23000      853.318
24000      821.41
25000      864.754
26000      933.71
27000      1090.61
28000      1271.65
29000      1213.66
30000      1323.52
31000      1370.96
32000      1548.17
33000      1709.47
34000      1851.9
35000      1839.29
36000      1971.68
37000      2106.75
38000      2105.86
39000      2354.58
40000      2424.86
41000      2570.74
42000      2645.76
43000      2866.99
44000      2919.8
45000      3003.29
46000      3193.38
47000      3422.74
48000      3584.77
49000      3804.09
50000      3689.17
